154.3.32.164:8443#HK [262.05ms 7.81Mbps]
123.111.169.70:2087#KR [262.24ms 3.07Mbps]
170.64.245.159:443#AU [262.84ms 5.26Mbps]
83.147.242.56:8443#ES [262.85ms 0.27Mbps]
85.4.221.234:443#CH [264.18ms 0.3Mbps]
45.76.116.155:443#AU [266.57ms 0.22Mbps]
77.37.96.247:443#DK [266.65ms 2.11Mbps]
117.18.127.43:443#TH [266.93ms 0.4Mbps]
159.54.134.203:443#MX [266.99ms 3.47Mbps]
45.63.25.175:443#AU [267.69ms 0.22Mbps]
62.113.106.85:8443#CH [267.98ms 0.17Mbps]
79.132.141.152:443#CH [268.92ms 0.29Mbps]
185.114.72.191:443#ES [269.02ms 2.2Mbps]
91.149.243.34:443#ES [269.1ms 0.16Mbps]
45.32.191.198:443#AU [269.11ms 1.58Mbps]
45.63.24.207:443#AU [269.56ms 0.11Mbps]
170.64.237.192:443#AU [269.71ms 0.24Mbps]
170.64.230.86:443#AU [270.82ms 0.18Mbps]
170.64.232.210:443#AU [270.83ms 0.26Mbps]
5.199.173.184:443#LT [270.97ms 0.14Mbps]
92.113.146.87:443#DK [272.72ms 2.8Mbps]
72.5.43.52:443#RO [272.99ms 2.5Mbps]
96.126.190.196:443#MY [273.35ms 0.03Mbps]
45.13.38.36:2053#RO [274.06ms 0.74Mbps]
185.153.198.86:443#MD [274.58ms 0.25Mbps]
185.114.72.31:8443#ES [276.68ms 3.46Mbps]
38.180.225.181:443#HU [278.2ms 0.22Mbps]
37.252.189.207:443#AT [278.36ms 0.24Mbps]
5.181.2.41:443#AT [278.51ms 0.16Mbps]
91.219.237.49:443#HU [278.62ms 0.09Mbps]
80.208.227.162:443#LT [279.81ms 0.12Mbps]
185.203.119.221:2053#BG [280.32ms 0.25Mbps]
5.181.2.71:443#AT [280.52ms 0.09Mbps]
91.218.212.223:443#UA [280.66ms 0.11Mbps]
185.219.132.27:443#TR [280.95ms 0.12Mbps]
172.235.229.214:443#IT [282.24ms 0.01Mbps]
185.66.71.149:2053#BY [282.26ms 3.09Mbps]
172.232.212.218:443#IT [282.42ms 0.02Mbps]
92.113.145.132:443#DK [284.1ms 3.45Mbps]
167.160.190.137:443#CA [284.52ms 0.0Mbps]
93.115.10.218:8443#TR [285.3ms 0.16Mbps]
45.150.195.167:443#ES [285.46ms 0.34Mbps]
91.219.236.202:8443#HU [286.49ms 0.24Mbps]
38.54.81.111:443#PH [287.93ms 0.0Mbps]
5.157.30.2:8443#IE [289.44ms 3.18Mbps]
72.146.234.10:443#IT [289.83ms 0.24Mbps]
85.120.228.76:443#RO [291.16ms 2.92Mbps]
85.120.229.99:443#RO [291.64ms 0.29Mbps]
156.239.13.72:8443#HK [291.91ms 1.71Mbps]
89.45.45.110:443#TR [292.4ms 0.17Mbps]
89.40.4.81:443#LT [293.03ms 0.15Mbps]
185.146.234.91:443#IS [293.93ms 0.16Mbps]
129.154.251.30:8443#IN [296.16ms 0.38Mbps]
109.61.42.37:443#AE [296.64ms 0.2Mbps]
142.93.146.73:443#CA [296.7ms 0.05Mbps]
129.154.251.30:443#IN [297.18ms 0.0Mbps]
185.121.15.33:443#ES [297.8ms 2.53Mbps]
185.39.30.18:8443#RO [298.53ms 0.11Mbps]
82.152.132.29:443#RO [299.6ms 2.54Mbps]
89.45.45.144:443#TR [299.78ms 2.97Mbps]
68.183.206.239:443#CA [300.36ms 0.19Mbps]
64.176.168.119:443#IL [301.43ms 0.11Mbps]
172.236.187.52:443#IN [302.69ms 2.83Mbps]
134.209.148.128:443#IN [304.8ms 0.46Mbps]
94.158.246.244:443#MD [305.22ms 0.21Mbps]
185.39.30.18:2087#RO [305.39ms 0.17Mbps]
93.85.88.60:2053#BY [305.83ms 0.1Mbps]
51.161.11.51:443#CA [306.01ms 0.66Mbps]
185.255.93.189:443#TR [308.01ms 0.26Mbps]
185.121.12.28:2053#ES [309.65ms 0.31Mbps]
185.80.128.115:8443#LT [310.06ms 0.1Mbps]
84.51.54.101:2053#TR [310.13ms 0.24Mbps]
185.141.61.113:443#BG [310.7ms 0.09Mbps]
64.177.68.51:443#IL [311.86ms 3.32Mbps]
2.135.146.15:443#KZ [312.56ms 0.06Mbps]
40.233.77.216:443#CA [313.57ms 0.0Mbps]
123.111.169.70:8443#KR [315.26ms 2.48Mbps]
167.99.188.132:443#CA [315.51ms 0.1Mbps]
91.210.166.102:443#BG [316.83ms 0.1Mbps]
185.175.58.196:443#AT [316.88ms 0.0Mbps]
40.233.71.238:443#CA [318.2ms 0.0Mbps]
94.131.108.136:443#TR [318.6ms 0.1Mbps]
5.199.162.130:443#LT [319.1ms 0.25Mbps]
185.163.45.40:443#MD [321.23ms 0.21Mbps]
167.99.183.13:443#CA [321.47ms 0.12Mbps]
45.133.16.41:443#CA [321.72ms 0.06Mbps]
179.255.190.9:443#IT [323.03ms 0.0Mbps]
45.92.70.176:8443#IT [323.16ms 0.0Mbps]
94.177.8.122:2053#AT [323.57ms 1.12Mbps]
87.229.34.180:443#BG [323.66ms 0.29Mbps]
94.177.8.122:8443#AT [324.62ms 2.64Mbps]
185.203.119.26:2053#BG [324.73ms 0.14Mbps]
188.190.26.243:443#BE [325.02ms 2.0Mbps]
80.211.24.214:443#IT [327.06ms 0.53Mbps]
81.29.149.219:8443#NO [327.15ms 3.08Mbps]
45.12.143.25:443#TR [327.83ms 2.39Mbps]
185.203.116.174:443#BG [329.8ms 0.41Mbps]
46.247.41.93:8443#KZ [332.09ms 0.14Mbps]
46.247.41.214:443#KZ [332.83ms 0.09Mbps]
82.26.198.89:443#TR [333.02ms 0.08Mbps]
80.211.24.141:443#IT [334.46ms 0.42Mbps]
80.90.183.47:443#KZ [335.24ms 0.1Mbps]
93.170.72.138:443#KZ [335.74ms 0.13Mbps]
181.215.15.26:443#GE [336.09ms 0.12Mbps]
94.131.92.95:443#KZ [336.58ms 0.17Mbps]
91.242.163.179:2053#SK [338.16ms 0.08Mbps]
64.176.4.154:8443#CL [338.85ms 1.65Mbps]
87.121.38.57:443#RS [339.02ms 0.0Mbps]
64.176.12.48:443#CL [339.03ms 0.4Mbps]
91.242.163.179:8443#SK [340.97ms 0.18Mbps]
195.242.118.15:443#VG [341.01ms 0.34Mbps]
188.132.192.194:2053#TR [341.61ms 2.67Mbps]
83.229.6.134:443#IT [341.78ms 2.78Mbps]
185.162.10.111:8443#BG [343.95ms 0.09Mbps]
92.118.115.22:2053#KZ [343.96ms 0.3Mbps]
91.215.153.143:443#BG [344.34ms 0.09Mbps]
5.249.148.85:443#IT [344.94ms 0.15Mbps]
94.177.160.180:443#IT [347.23ms 0.22Mbps]
38.54.59.70:443#EG [349.35ms 0.06Mbps]
94.198.221.86:443#KZ [349.99ms 0.13Mbps]
91.238.105.102:443#UA [352.28ms 1.15Mbps]
85.120.252.211:443#MD [352.93ms 1.25Mbps]
91.229.239.172:443#MD [353.21ms 0.07Mbps]
195.238.126.11:443#LT [355.75ms 0.34Mbps]
199.189.253.155:8443#KZ [357.51ms 0.15Mbps]
38.54.64.204:443#ZA [358.67ms 0.91Mbps]
91.212.166.36:443#KZ [360.17ms 0.0Mbps]
195.246.230.132:443#IS [360.61ms 1.83Mbps]
212.60.4.134:443#BY [361.73ms 0.25Mbps]
38.54.45.184:443#AR [363.43ms 0.77Mbps]
147.78.0.186:2053#AE [365.45ms 0.35Mbps]
176.98.181.71:443#HK [365.96ms 0.06Mbps]
185.216.68.218:8443#MD [366.63ms 0.65Mbps]
193.123.74.174:8443#AE [367.33ms 0.66Mbps]
176.97.76.48:8443#RO [367.61ms 2.68Mbps]
94.131.19.19:2053#BR [370.4ms 0.2Mbps]
152.53.45.159:443#AT [374.68ms 0.47Mbps]
185.80.129.84:443#LT [376.32ms 0.11Mbps]
77.91.69.141:8443#IL [376.51ms 0.11Mbps]
90.156.220.194:2053#AE [377.55ms 0.11Mbps]
176.97.78.80:8443#AE [378.11ms 0.29Mbps]
198.55.103.168:443#IE [386.04ms 0.93Mbps]
35.241.172.224:443#BE [392.8ms 0.11Mbps]
23.95.225.10:2053#IE [395.4ms 0.13Mbps]
34.240.243.226:443#IE [397.16ms 0.22Mbps]
144.172.88.34:443#AE [397.6ms 0.13Mbps]
193.180.213.30:2087#DK [401.15ms 0.51Mbps]
194.5.98.105:8443#NO [401.7ms 0.22Mbps]
194.5.98.17:443#NO [406.11ms 3.15Mbps]
23.95.225.10:8443#IE [412.44ms 0.2Mbps]
147.78.0.36:443#AE [419.16ms 0.2Mbps]
35.210.99.51:443#BE [420.46ms 0.11Mbps]
152.53.67.141:443#AT [421.39ms 0.19Mbps]
193.108.112.65:443#AL [421.68ms 3.23Mbps]
20.174.15.226:443#AE [423.5ms 0.15Mbps]
193.180.211.40:443#DK [429.25ms 2.77Mbps]
130.195.222.215:443#AT [433.1ms 0.29Mbps]
130.12.171.96:8443#LT [436.14ms 1.71Mbps]
130.12.171.173:443#LT [438.03ms 3.94Mbps]
147.78.3.96:443#UA [440.7ms 0.19Mbps]
185.48.250.138:443#RS [441.28ms 0.12Mbps]
132.243.245.80:443#AT [446.15ms 0.11Mbps]
185.205.187.139:443#CY [446.44ms 0.07Mbps]
